Title,Efficiency,tandem,Year,reference
Maximizing the performance of single and multijunction MA and lead-free perovskite solar cell,27.8,tandem,2021,"Maximizing the performance of single and multijunction MA and lead-free perovskite solar cell. Azadinia, M; Ameri, M; Ghahrizjani, RT; Fathollahi, M. 2021. MATERIALS TODAY ENERGY."
Photoactivated p-Doping of Organic Interlayer Enables Efficient Perovskite/Silicon Tandem Solar Cells,27.8,tandem,2022,"Photoactivated p-Doping of Organic Interlayer Enables Efficient Perovskite/Silicon Tandem Solar Cells. Zheng, XP; Liu, J; Liu, T; Aydin, E; Chen, M; Yan, WB; De Bastiani, M; Allen, TG; Yuan, S; Kirmani, AR; Baustert, KN; Salvador, MF; Turedi, B; Alsalloum, AY; Almasabi, K; Kotsovos, K; Gereige, I; Liao, LS; Luther, JM; Graham, KR; Mohammed, OF; De Wolf, S; Bakr, OM. 2022. ACS ENERGY LETTERS."
Suppressed deprotonation enables a durable buried interface in tin-lead perovskite for all-perovskite tandem solar cells,27.8,tandem,2024,"Suppressed deprotonation enables a durable buried interface in tin-lead perovskite for all-perovskite tandem solar cells. Fu, S; Sun, NN; Xian, YM; Chen, L; Li, Y; Li, CW; Abudulimu, A; Kaluarachchi, PN; Huang, ZX; Wang, XM; Dolia, K; Ginger, DS; Heben, MJ; Ellingson, RJ; Chen, B; Sargent, EH; Song, ZN; Yan, YF. 2024. JOULE."
Enhancing Efficiency and Intrinsic Stability of Large-Area Blade-Coated Wide-Bandgap Perovskite Solar Cells Through Strain Release,27.64,tandem,2024,"Enhancing Efficiency and Intrinsic Stability of Large-Area Blade-Coated Wide-Bandgap Perovskite Solar Cells Through Strain Release. Pu, DX; Zhou, S; Guan, HL; Jia, P; Chen, GY; Fang, HY; Fu, SQ; Wang, C; Hushvaktov, H; Jumabaev, A; Meng, WW; Wang, XZ; Fang, GJ; Ke, WJ. 2024. ADVANCED FUNCTIONAL MATERIALS."
A Two-Step Solution-Processed Wide-Bandgap Perovskite for Monolithic Silicon-Based Tandem Solar Cells with &gt;27% Efficiency,27.64,tandem,2022,"A Two-Step Solution-Processed Wide-Bandgap Perovskite for Monolithic Silicon-Based Tandem Solar Cells with &gt;27% Efficiency. Chen, BB; Wang, PY; Li, RJ; Ren, NY; Han, W; Zhu, Z; Wang, J; Wang, SL; Shi, B; Liu, JJ; Liu, PF; Huang, Q; Xu, SZ; Zhao, Y; Zhang, XD. 2022. ACS ENERGY LETTERS."
Perovskite half tandem v-shaped grating nanostructure solar cells: Improvement by light trapping and carrier transfer towards efficiency enhancement,27.63,tandem,2024,"Perovskite half tandem v-shaped grating nanostructure solar cells: Improvement by light trapping and carrier transfer towards efficiency enhancement. Ahmadi, H; Shahrostami, M; Manavizadeh, N. 2024. ALEXANDRIA ENGINEERING JOURNAL."
Light radiation annealing enables unidirectional crystallization of vacuum-assisted Sn-Pb perovskites for efficient tandem solar cells,27.62,tandem,2025,"Light radiation annealing enables unidirectional crystallization of vacuum-assisted Sn-Pb perovskites for efficient tandem solar cells. Ge, CY; Xu, Q; Liu, DY; Ye, WJ; Zhu, YX; Zhang, PY; Yang, JK; Liang, GX; Xu, L; Zhou, Y; Song, HS; Chen, C; Tang, J. 2025. ENERGY & ENVIRONMENTAL SCIENCE."
Triple-junction solar cells with cyanate in ultrawide-bandgap perovskites,27.62,tandem,2024,"Triple-junction solar cells with cyanate in ultrawide-bandgap perovskites. Liu, SC; Lu, Y; Yu, C; Li, J; Luo, R; Guo, RJ; Liang, HM; Jia, XK; Guo, X; Wang, YD; Zhou, QL; Wang, X; Yang, SF; Sui, ML; Müller-Buschbaum, P; Hou, Y. 2024. NATURE."
Inhibiting Ion Migration and Oxidation in Sn-Pb Perovskite by Multidentate Chelating Additive Strategy,27.6,tandem,2025,"Inhibiting Ion Migration and Oxidation in Sn-Pb Perovskite by Multidentate Chelating Additive Strategy. Ma, TJ; Zhao, XZ; Yang, XK; Yan, J; Luo, DF; Li, MY; Li, X; Chen, C; Song, HS; Tang, J. 2025. ADVANCED FUNCTIONAL MATERIALS."
Inverted perovskite/silicon V-shaped tandem solar cells with 27.6% efficiency <i>via</i> self-assembled monolayer-modified nickel oxide layer,27.6,tandem,2022,"Inverted perovskite/silicon V-shaped tandem solar cells with 27.6% efficiency <i>via</i> self-assembled monolayer-modified nickel oxide layer. Zheng, LK; Xuan, YM; Wang, JL; Bao, SJ; Liu, XL; Zhang, K. 2022. JOURNAL OF MATERIALS CHEMISTRY A."
27.6% Perovskite/c-Si Tandem Solar Cells Using Industrial Fabricated TOPCon Device,27.6,tandem,2022,"27.6% Perovskite/c-Si Tandem Solar Cells Using Industrial Fabricated TOPCon Device. Wu, YL; Zheng, PT; Peng, J; Xu, ML; Chen, YH; Surve, S; Lu, T; Bui, AD; Li, NX; Liang, WS; Duan, LP; Li, BR; Shen, HP; Duong, T; Yang, J; Zhang, XY; Liu, Y; Jin, H; Chen, Q; White, T; Catchpole, K; Zhou, HP; Weber, K. 2022. ADVANCED ENERGY MATERIALS."
Hot-Carrier Cooling Regulation for Mixed Sn-Pb Perovskite Solar Cells,27.56,tandem,2024,"Hot-Carrier Cooling Regulation for Mixed Sn-Pb Perovskite Solar Cells. Yan, WJ; Li, CW; Peng, C; Tan, SC; Zhang, JK; Jiang, HK; Xin, FF; Yue, F; Zhou, ZM. 2024. ADVANCED MATERIALS."
Boosting All-Perovskite Tandem Solar Cells by Revitalizing the Buried Tin-Lead Perovskite Interface,27.54,tandem,2024,"Boosting All-Perovskite Tandem Solar Cells by Revitalizing the Buried Tin-Lead Perovskite Interface. Li, G; Wang, C; Fu, SQ; Zheng, WW; Shen, WC; Jia, P; Huang, LS; Zhou, S; Zhou, J; Wang, C; Guan, HL; Zhou, Y; Zhang, XH; Pu, DX; Fang, HY; Lin, QX; Ai, W; Chen, WQ; Zeng, GJ; Wang, T; Qin, PL; Fang, GJ; Ke, WJ. 2024. ADVANCED MATERIALS."
Ionic Liquid Modified Polymer Intermediate Layer for Improved Charge Extraction toward Efficient and Stable Perovskite/Silicon Tandem Solar Cells,27.51,tandem,2024,"Ionic Liquid Modified Polymer Intermediate Layer for Improved Charge Extraction toward Efficient and Stable Perovskite/Silicon Tandem Solar Cells. Sun, YQ; Mao, L; Yang, T; Zhang, H; Shi, JH; Tan, QC; Li, FM; Zeng, P; Gong, J; Liu, ZX; Liu, MZ. 2024. SMALL."
Minimizing Interfacial Recombination in 1.8 eV Triple-Halide Perovskites for 27.5% Efficient All-Perovskite Tandems,27.5,tandem,2024,"Minimizing Interfacial Recombination in 1.8 eV Triple-Halide Perovskites for 27.5% Efficient All-Perovskite Tandems. Yang, FJ; Tockhorn, P; Musiienko, A; Lang, F; Menzel, D; Macqueen, R; Köhnen, E; Xu, K; Mariotti, S; Mantione, D; Merten, L; Hinderhofer, A; Li, B; Wargulski, DR; Harvey, SP; Zhang, JH; Scheler, F; Berwig, S; Ross, M; Thiesbrummel, J; Al-Ashouri, A; Brinkmann, KO; Riedl, T; Schreiber, F; Abou-Ras, D; Snaith, H; Neher, D; Korte, L; Stolterfoht, M; Albrecht, S. 2024. ADVANCED MATERIALS."
Multifunctional Ammonium Sulfide Enables Highest Efficiency Lead-Tin Perovskite Solar Cells,27.48,tandem,2024,"Multifunctional Ammonium Sulfide Enables Highest Efficiency Lead-Tin Perovskite Solar Cells. Song, J; Kong, TF; Zhao, ZH; Zhang, Y; Liu, YJ; Bi, DQ. 2024. ADVANCED FUNCTIONAL MATERIALS."
Wide Bandgap Interface Layer Induced Stabilized Perovskite/Silicon Tandem Solar Cells with Stability over Ten Thousand Hours,27.48,tandem,2021,"Wide Bandgap Interface Layer Induced Stabilized Perovskite/Silicon Tandem Solar Cells with Stability over Ten Thousand Hours. Li, YC; Shi, BA; Xu, QJ; Yan, LL; Ren, NY; Chen, YL; Han, W; Huang, Q; Zhao, Y; Zhang, XD. 2021. ADVANCED ENERGY MATERIALS."
Toward sustainable manufacturing of highly efficient and stable semi-transparent perovskite solar cells: The critical role of green solvent properties,27.44,tandem,2024,"Toward sustainable manufacturing of highly efficient and stable semi-transparent perovskite solar cells: The critical role of green solvent properties. Lian, XX; Ma, QX; Luo, M; Min, H; Fu, W; Wan, L; Zuo, XC; Wang, KX; Chen, YF; Xu, CY; Lei, YS; Lv, HL; Chen, C; Chang, J; Zuo, GZ; Xie, FX; Wang, ZS; Sithole, T; Miao, QQ; Mo, XL; Zhang, H; Chu, JH. 2024. NANO ENERGY."
Self-assembly construction of a homojunction of Sn-Pb perovskite using an antioxidant for all-perovskite tandem solar cells with improved efficiency and stability,27.42,tandem,2024,"Self-assembly construction of a homojunction of Sn-Pb perovskite using an antioxidant for all-perovskite tandem solar cells with improved efficiency and stability. Lin, ZJ; Chen, JW; Duan, CH; Fan, KZ; Li, J; Zou, SB; Zou, FL; Yuan, LG; Zhang, Z; Zhang, KC; Lam, MY; Aleksandr, SA; Qiu, JH; Wong, KS; Yan, H; Yan, KY. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Bimolecular Crystallization Modulation Boosts the Efficiency and Stability of Methylammonium-Free Tin-Lead Perovskite and All-Perovskite Tandem Solar Cells,27.41,tandem,2024,"Bimolecular Crystallization Modulation Boosts the Efficiency and Stability of Methylammonium-Free Tin-Lead Perovskite and All-Perovskite Tandem Solar Cells. Wang, JA; Pan, YY; Zhou, Z; Zhou, QS; Liu, SW; Zhang, JQ; Shi, CY; Chen, R; Zhao, ZJ; Cai, ZH; Qin, XJ; Zhao, ZG; Yang, ZC; Liu, ZH; Chen, W. 2024. ADVANCED ENERGY MATERIALS."
Synergistic Treatments of Bulk and Surface in Tin-Lead Mixed Perovskite for Efficient All-Perovskite Tandem Solar Cells,27.37,tandem,2024,"Synergistic Treatments of Bulk and Surface in Tin-Lead Mixed Perovskite for Efficient All-Perovskite Tandem Solar Cells. Xie, JK; Jin, XN; Cao, JP; Shu, YT; Yan, WJ; Han, LG; Duan, JB; Wang, FF; Dong, JJ; Wang, AF; Huang, W; Qin, TS. 2024. ADVANCED FUNCTIONAL MATERIALS."
F-Type Pseudo-Halide Anions for High-Efficiency and Stable Wide-Band-Gap Inverted Perovskite Solar Cells with Fill Factor Exceeding 84%,27.35,tandem,2022,"F-Type Pseudo-Halide Anions for High-Efficiency and Stable Wide-Band-Gap Inverted Perovskite Solar Cells with Fill Factor Exceeding 84%. Tao, JL; Liu, XN; Shen, JL; Han, SC; Guan, L; Fu, GS; Kuang, DB; Yang, SP. 2022. ACS NANO."
Mixed tin-lead perovskites with balanced crystallization and oxidation barrier for all-perovskite tandem solar cells,27.35,tandem,2024,"Mixed tin-lead perovskites with balanced crystallization and oxidation barrier for all-perovskite tandem solar cells. Zhou, J; Fu, SQ; Zhou, S; Huang, LS; Wang, C; Guan, HL; Pu, DX; Cui, HS; Wang, C; Wang, T; Meng, WW; Fang, GJ; Ke, WJ. 2024. NATURE COMMUNICATIONS."
All-Perovskite Tandems Enabled by Surface Anchoring of Long-Chain Amphiphilic Ligands,27.3,tandem,2024,"All-Perovskite Tandems Enabled by Surface Anchoring of Long-Chain Amphiphilic Ligands. Maxwell, A; Chen, H; Grater, L; Li, CW; Teale, S; Wang, JK; Zeng, LW; Wang, ZW; Park, SM; Vafaie, M; Sidhik, S; Metcalf, IW; Liu, YJ; Mohite, AD; Chen, B; Sargent, EH. 2024. ACS ENERGY LETTERS."
CsPbCl<sub>3</sub>-Cluster-Widened Bandgap and Inhibited Phase Segregation in a Wide-Bandgap Perovskite and its Application to NiO<i><sub>x</sub></i>-Based Perovskite/Silicon Tandem Solar Cells,27.26,tandem,2022,"CsPbCl<sub>3</sub>-Cluster-Widened Bandgap and Inhibited Phase Segregation in a Wide-Bandgap Perovskite and its Application to NiO<i><sub>x</sub></i>-Based Perovskite/Silicon Tandem Solar Cells. Li, RJ; Chen, BB; Ren, NY; Wang, PY; Shi, B; Xu, QJ; Zhao, H; Han, W; Zhu, Z; Liu, JJ; Huang, Q; Zhang, DK; Zhao, Y; Zhang, XD. 2022. ADVANCED MATERIALS."
Solvents incubated p-p stacking in hole transport layer for perovskite-silicon 2-terminal tandem solar cells with 27.21% efficiency,27.21,tandem,2023,"Solvents incubated p-p stacking in hole transport layer for perovskite-silicon 2-terminal tandem solar cells with 27.21% efficiency. Ma, QY; Qiu, JF; Yang, YZ; Tang, F; Zeng, YL; Ma, NX; Yu, BH; Lu, FP; Liu, C; Lambertz, A; Duan, WY; Ding, KN; Mai, YH. 2023. JOURNAL OF ENERGY CHEMISTRY."
Optimizing Blade-Coated Tin-lead Perovskite Solar Cells and Tandems with Multi-Carboxyl and Amino Group Integration,27.2,tandem,2024,"Optimizing Blade-Coated Tin-lead Perovskite Solar Cells and Tandems with Multi-Carboxyl and Amino Group Integration. Shen, WC; Fang, HY; Pu, DX; Zheng, WW; Zhang, XH; Li, G; Huang, LS; Zhou, S; Chen, WQ; Zhou, Y; Feng, Z; Liang, JW; Zhou, J; Qin, PL; Fang, GJ; Ke, WJ. 2024. ADVANCED FUNCTIONAL MATERIALS."
Binary cations minimize energy loss in the wide-band-gap perovskite toward efficient all-perovskite tandem solar cells,27.2,tandem,2024,"Binary cations minimize energy loss in the wide-band-gap perovskite toward efficient all-perovskite tandem solar cells. Zhang, KC; Liu, C; Peng, ZJ; Li, CH; Tian, JJ; Li, CR; Cerrillo, JG; Dong, LR; Streller, F; Späth, A; Musiienko, A; Englhard, J; Li, N; Zhang, JY; Du, T; Sathasivam, S; Macdonald, TJ; These, A; Le Corre, VM; Forberich, K; Meng, W; Fink, RH; Osvet, A; Lüer, L; Bachmann, J; Tong, JH; Brabec, CJ. 2024. JOULE."
Efficient monolithic perovskite-Si tandem solar cells enabled by an ultra-thin indium tin oxide interlayer,27.2,tandem,2023,"Efficient monolithic perovskite-Si tandem solar cells enabled by an ultra-thin indium tin oxide interlayer. Zheng, JH; Duan, WY; Guo, YZ; Zhao, ZJC; Yi, HM; Ma, FJ; Caro, LG; Yi, CQ; Bing, JM; Tang, S; Qu, JT; Fong, KC; Cui, X; Zhu, Y; Yang, LM; Lambertz, A; Mahmud, MA; Chen, HJ; Liao, CH; Wang, GL; Jankovec, M; Xu, C; Uddin, A; Cairney, JM; Bremner, S; Huang, SJ; Ding, KN; McKenzie, DR; Ho-Baillie, AWY. 2023. ENERGY & ENVIRONMENTAL SCIENCE."
Minimizing Voltage Loss in Wide-Bandgap Perovskites for Tandem Solar Cells,27.1,tandem,2019,"Minimizing Voltage Loss in Wide-Bandgap Perovskites for Tandem Solar Cells. Jaysankar, M; Raul, BAL; Bastos, J; Burgess, C; Weijtens, C; Creatore, M; Aernouts, T; Kuang, YH; Gehlhaar, R; Hadipour, A; Poortmans, J. 2019. ACS ENERGY LETTERS."
Surface repair of wide-bandgap perovskites for high-performance all-perovskite tandem solar cells,27.1,tandem,2024,"Surface repair of wide-bandgap perovskites for high-performance all-perovskite tandem solar cells. Lv, XJ; Li, WS; Zhang, J; Yang, YJ; Jia, XF; Ji, YT; Lin, QQ; Huang, WC; Bu, TL; Ren, ZW; Yao, CL; Huang, FZ; Cheng, YB; Tong, JH. 2024. JOURNAL OF ENERGY CHEMISTRY."
Molecule Anchoring Strategy Promotes Vertically Homogeneous Crystallization and Aligned Interfaces for Efficient Pb-Sn Perovskite Solar Cells and Tandem Device,27.1,tandem,2024,"Molecule Anchoring Strategy Promotes Vertically Homogeneous Crystallization and Aligned Interfaces for Efficient Pb-Sn Perovskite Solar Cells and Tandem Device. Xing, G; Li, CB; Gao, WY; Yang, JX; Zhao, XJ; Wang, JP; Ran, XQ; Chao, LF; Huang, H; Zhou, YP; Chen, YH; Wu, ZB; Ran, CX; Huang, W. 2024. ADVANCED MATERIALS."
Bottom-up modification boosts the performance of narrow-bandgap lead-tin perovskite single-junction and tandem solar cells,27.07,tandem,2023,"Bottom-up modification boosts the performance of narrow-bandgap lead-tin perovskite single-junction and tandem solar cells. Zhang, WJ; Huang, LS; Guan, HL; Zheng, WW; Li, Z; Cui, HS; Zhou, S; Liang, JW; Li, G; Wang, T; Qin, PL; Ke, WJ; Fang, GJ. 2023. ENERGY & ENVIRONMENTAL SCIENCE."
Regulating Surface Metal Abundance via Lattice-Matched Coordination for Versatile and Environmentally-Viable Sn-Pb Alloying Perovskite Solar Cells,27.03,tandem,2024,"Regulating Surface Metal Abundance via Lattice-Matched Coordination for Versatile and Environmentally-Viable Sn-Pb Alloying Perovskite Solar Cells. Liu, GL; Yang, G; Feng, WH; Li, H; Yang, MF; Zhong, Y; Jiang, XY; Wu, WQ. 2024. ADVANCED MATERIALS."
Improving interface quality for 1-cm<SUP>2</SUP> all-perovskite tandem solar cells,27,tandem,2023,"Improving interface quality for 1-cm<SUP>2</SUP> all-perovskite tandem solar cells. He, R; Wang, WH; Yi, ZJ; Lang, F; Chen, C; Luo, JC; Zhu, JW; Thiesbrummel, J; Shah, S; Wei, K; Luo, Y; Wang, CL; Lai, HG; Huang, H; Zhou, J; Zou, BS; Yin, XX; Ren, SQ; Hao, X; Wu, LL; Zhang, JQ; Zhang, JB; Stolterfoht, M; Fu, F; Tang, WH; Zhao, DW. 2023. NATURE."
27%-Efficiency Four-Terminal Perovskite/Silicon Tandem Solar Cells by Sandwiched Gold Nanomesh,27,tandem,2020,"27%-Efficiency Four-Terminal Perovskite/Silicon Tandem Solar Cells by Sandwiched Gold Nanomesh. Wang, ZY; Zhu, XJ; Zuo, SN; Chen, M; Zhang, C; Wang, CY; Ren, XD; Yang, Z; Liu, ZK; Xu, XX; Chang, Q; Yang, SF; Meng, FY; Liu, ZX; Yuan, NY; Ding, JN; Liu, SZ; Yang, D. 2020. ADVANCED FUNCTIONAL MATERIALS."
Ligand-bridged charge extraction and enhanced quantum efficiency enable efficient n-i-p perovskite/silicon tandem solar cells,27,tandem,2021,"Ligand-bridged charge extraction and enhanced quantum efficiency enable efficient n-i-p perovskite/silicon tandem solar cells. Aydin, E; Liu, J; Ugur, E; Azmi, R; Harrison, GT; Hou, Y; Chen, B; Zhumagali, S; De Bastiani, M; Wang, MC; Raja, W; Allen, TG; Rehman, AU; Subbiah, AS; Babics, M; Babayigit, A; Isikgor, FH; Wang, K; Van Kerschaver, E; Tsetseris, L; Sargent, EH; Laquai, F; De Wolf, S. 2021. ENERGY & ENVIRONMENTAL SCIENCE."
Triple-halide wide-band gap perovskites with suppressed phase segregation for efficient tandems,27,tandem,2020,"Triple-halide wide-band gap perovskites with suppressed phase segregation for efficient tandems. Xu, JX; Boyd, CC; Yu, ZSJ; Palmstrom, AF; Witter, DJ; Larson, BW; France, RM; Werner, J; Harvey, SP; Wolf, EJ; Weigand, W; Manzoor, S; van Hest, MFAM; Berry, JJ; Luther, JM; Holman, ZC; McGehee, MD. 2020. SCIENCE."
Understanding and Minimizing <i>V</i><sub>OC</sub> Losses in All-Perovskite Tandem Photovoltaics,27,tandem,2023,"Understanding and Minimizing <i>V</i><sub>OC</sub> Losses in All-Perovskite Tandem Photovoltaics. Thiesbrummel, J; Pena-Camargo, F; Brinkmann, KO; Gutierrez-Partida, E; Yang, FJ; Warby, J; Albrecht, S; Neher, D; Riedl, T; Snaith, HJ; Stolterfoht, M; Lang, FL. 2023. ADVANCED ENERGY MATERIALS."
Electron-withdrawing organic ligand for high-efficiency all-perovskite tandem solar cells,26.96,tandem,2024,"Electron-withdrawing organic ligand for high-efficiency all-perovskite tandem solar cells. Yu, DN; Pan, ML; Liu, GQ; Jiang, XY; Wen, X; Li, WZ; Chen, SJ; Zhou, WJ; Wang, H; Lu, Y; Ma, MY; Zang, ZH; Cheng, PH; Ji, QQ; Zheng, F; Ning, ZJ. 2024. NATURE ENERGY."
Strain Modulation for Light-Stable n-i-p Perovskite/Silicon Tandem Solar Cells,26.95,tandem,2022,"Strain Modulation for Light-Stable n-i-p Perovskite/Silicon Tandem Solar Cells. Wang, LN; Song, QZ; Pei, FT; Chen, YH; Dou, J; Wang, H; Shi, CB; Zhang, X; Fan, RD; Zhou, WT; Qiu, ZW; Kang, JQ; Wang, XY; Lambertz, A; Sun, MR; Niu, XX; Ma, Y; Zhu, C; Zhou, HP; Hong, JW; Bai, Y; Duan, WY; Ding, KN; Chen, Q. 2022. ADVANCED MATERIALS."
Interface Reactive Sputtering of Transparent Electrode for High-Performance Monolithic and Stacked Perovskite Tandem Solar Cells,26.89,tandem,2024,"Interface Reactive Sputtering of Transparent Electrode for High-Performance Monolithic and Stacked Perovskite Tandem Solar Cells. Dong, YM; Yu, RN; Su, GF; Ma, ZW; He, ZW; Wang, RY; Zhang, YL; Yang, J; Gong, YS; Li, MH; Tan, ZN. 2024. ADVANCED MATERIALS."
p Precisely adjusting the organic/electrode interface charge barrier for efficient and stable Ag-based regular perovskite solar cells with &gt;23% efficiency,26.76,tandem,2023,"p Precisely adjusting the organic/electrode interface charge barrier for efficient and stable Ag-based regular perovskite solar cells with &gt;23% efficiency. Tao, JL; Xue, JW; Guo, HS; Wang, YH; Shen, JL; Wang, TN; He, TW; Fu, GS; Yang, SP. 2023. CHEMICAL ENGINEERING JOURNAL."
Triple-cation perovskite/silicon tandem solar cell,26.6,tandem,2022,"Triple-cation perovskite/silicon tandem solar cell. Asmontas, S; Gradauskas, J; Griguceviciene, A; Leinartas, K; Lacun, A; Mujahid, M; Petrauskas, K; Selskis, A; Suziedelis, A; Silenas, A; Sirmulis, E. 2022. UKRAINIAN JOURNAL OF PHYSICAL OPTICS."
Highly Efficient Semitransparent Perovskite Solar Cells for Four Terminal Perovskite-Silicon Tandems,26.6,tandem,2019,"Highly Efficient Semitransparent Perovskite Solar Cells for Four Terminal Perovskite-Silicon Tandems. Dewi, HA; Wang, H; Li, J; Thway, M; Sridharan, R; Stangl, R; Lin, F; Aberle, AG; Mathews, N; Bruno, A; Mhaisalkartlie, S. 2019. ACS APPLIED MATERIALS & INTERFACES."
All-Round Passivation Strategy Yield Flexible Perovskite/CuInGaSe<sub>2</sub> Tandem Solar Cells with Efficiency Exceeding 26.5%,26.57,tandem,2024,"All-Round Passivation Strategy Yield Flexible Perovskite/CuInGaSe<sub>2</sub> Tandem Solar Cells with Efficiency Exceeding 26.5%. Tang, LT; Zeng, L; Luo, J; Wang, WJ; Xue, Z; Luo, ZK; Yan, H; Gong, JB; Wang, S; Li, JM; Xiao, XD. 2024. ADVANCED MATERIALS."
All-Perovskite Tandem Solar Cells Approach 26.5% Efficiency by Employing Wide Bandgap Lead Perovskite Solar Cells with New Monomolecular Hole Transport Layer,26.47,tandem,2023,"All-Perovskite Tandem Solar Cells Approach 26.5% Efficiency by Employing Wide Bandgap Lead Perovskite Solar Cells with New Monomolecular Hole Transport Layer. Bi, H; Liu, JQ; Zhang, Z; Wang, L; Beresneviciute, R; Tavgeniene, D; Kapil, G; Ding, C; Baranwal, AK; Sahamir, SR; Sanehira, Y; Segawa, H; Grigalevicius, S; Shen, Q; Hayase, S. 2023. ACS ENERGY LETTERS."
Isomeric diammonium passivation for perovskite-organic tandem solar cells,26.4,tandem,2024,"Isomeric diammonium passivation for perovskite-organic tandem solar cells. Jiang, X; Qin, SC; Meng, L; He, GR; Zhang, JY; Wang, YY; Zhu, YQ; Zou, TW; Gong, YF; Chen, ZK; Sun, GP; Liu, MC; Li, XJ; Lang, FL; Li, YF. 2024. NATURE."
Surface charge transfer doping of narrow-bandgap Sn-Pb perovskites for high-performance tandem solar cells,26.33,tandem,2024,"Surface charge transfer doping of narrow-bandgap Sn-Pb perovskites for high-performance tandem solar cells. Sun, Q; Zhang, ZG; Yu, HX; Huang, JY; Li, XJ; Dai, LT; Wang, Q; Shen, Y; Wang, MK. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Efficient and Thermally Stable All-Perovskite Tandem Solar Cells Using All-FA Narrow-Bandgap Perovskite and Metal-oxide-based Tunnel Junction,26.3,tandem,2022,"Efficient and Thermally Stable All-Perovskite Tandem Solar Cells Using All-FA Narrow-Bandgap Perovskite and Metal-oxide-based Tunnel Junction. Wu, P; Wen, J; Wang, YR; Liu, Z; Lin, RX; Li, HJ; Luo, HW; Tan, HR. 2022. ADVANCED ENERGY MATERIALS."
"Mechanically Stacked, Two-Terminal Graphene-Based Perovskite/Silicon Tandem Solar Cell with Efficiency over 26%",26.3,tandem,2020,"Mechanically Stacked, Two-Terminal Graphene-Based Perovskite/Silicon Tandem Solar Cell with Efficiency over 26%. Lamanna, E; Matteocci, F; Calabrò, E; Serenelli, L; Salza, E; Martini, L; Menchini, F; Izzi, M; Agresti, A; Pescetelli, S; Bellani, S; Castillo, AED; Bonaccorso, F; Tucci, M; Di Carlo, A. 2020. JOULE."
Linked Nickel Oxide/Perovskite Interface Passivation for High-Performance Textured Monolithic Tandem Solar Cells,26.2,tandem,2021,"Linked Nickel Oxide/Perovskite Interface Passivation for High-Performance Textured Monolithic Tandem Solar Cells. Zhumagali, S; Isikgor, FH; Maity, P; Yin, J; Ugur, E; De Bastiani, M; Subbiah, AS; Mirabelli, AJ; Azmi, R; Harrison, GT; Troughton, J; Aydin, E; Liu, J; Allen, T; Rehman, AU; Baran, D; Mohammed, OF; De Wolf, S. 2021. ADVANCED ENERGY MATERIALS."
Synergistic Enhancement of Efficient Perovskite/Quantum Dot Tandem Solar Cells Based on Transparent Electrode and Band Alignment Engineering,26.12,tandem,2024,"Synergistic Enhancement of Efficient Perovskite/Quantum Dot Tandem Solar Cells Based on Transparent Electrode and Band Alignment Engineering. Li, MY; Yan, J; Zhao, XZ; Ma, TJ; Zhang, AF; Chen, SW; Shen, GH; Khalaf, GMG; Zhang, JB; Chen, C; Hsu, HY; Song, HS; Yang, PZ; Tang, J. 2024. ADVANCED ENERGY MATERIALS."
Incorporating Potassium Citrate to Improve the Performance of Tin-Lead Perovskite Solar Cells,26.1,tandem,2023,"Incorporating Potassium Citrate to Improve the Performance of Tin-Lead Perovskite Solar Cells. Chen, L; Li, CW; Xian, YM; Fu, S; Abudulimu, A; Li, DB; Friedl, JD; Li, Y; Neupane, S; Tumusange, MS; Sun, NN; Wang, XM; Ellingson, RJ; Heben, MJ; Podraza, NJ; Song, ZN; Yan, YF. 2023. ADVANCED ENERGY MATERIALS."
A Generic Strategy to Stabilize Wide Bandgap Perovskites for Efficient Tandem Solar Cells,26.1,tandem,2024,"A Generic Strategy to Stabilize Wide Bandgap Perovskites for Efficient Tandem Solar Cells. Li, S; Zheng, Z; Ju, JQ; Cheng, SY; Chen, FY; Xue, ZX; Ma, L; Wang, ZP. 2024. ADVANCED MATERIALS."
Crystallization Enhancement and Ionic Defect Passivation in Wide-Bandgap Perovskite for Efficient and Stable All-Perovskite Tandem Solar Cells,26.08,tandem,2024,"Crystallization Enhancement and Ionic Defect Passivation in Wide-Bandgap Perovskite for Efficient and Stable All-Perovskite Tandem Solar Cells. Qiao, L; Ye, TS; Wang, PS; Wang, T; Zhang, L; Sun, RT; Kong, WY; Yang, XD. 2024. ADVANCED FUNCTIONAL MATERIALS."
Hole Transport Layer-Free Low-Bandgap Perovskite Solar Cells for Efficient All-Perovskite Tandems,26.03,tandem,2024,"Hole Transport Layer-Free Low-Bandgap Perovskite Solar Cells for Efficient All-Perovskite Tandems. Ma, TS; Wang, HY; Wu, ZH; Zhao, Y; Chen, C; Yin, XX; Hu, L; Yao, F; Lin, QQ; Wang, SJ; Zhao, DW; Li, XF; Wang, CL. 2024. ADVANCED MATERIALS."
